"",Totale,Totale,Totale,Incidenza,0 - 4,5 - 14,15 - 64,65 e oltre
Settimana,,,,,,,,
"",Medici,Casi,Assistiti,Totale,Casi Inc,Casi Inc,Casi Inc,Casi Inc
2017-42,1.040,1.194,1.339.814,"0,89","194 2,45","206 1,15","596 0,76","198 0,68"
2017-43,1.046,1.147,1.347.928,"0,85","180 2,28","150 0,83","659 0,83","158 0,53"
2017-44,1.045,1.273,1.345.992,"0,95","176 2,24","161 0,90","730 0,92","206 0,70"
2017-45,1.053,1.680,1.357.630,"1,24","219 2,77","187 1,04","1038 1,30","236 0,79"
2017-46,1.069,2.204,1.379.471,"1,60","350 4,31","355 1,91","1235 1,52","264 0,87"
2017-47,1.068,2.553,1.378.704,"1,85","358 4,43","380 2,06","1496 1,85","319 1,05"
2017-48,1.072,3.294,1.383.958,"2,38","497 6,18","562 3,05","1846 2,27","389 1,28"
2017-49,1.072,4.306,1.383.943,"3,11","583 7,29","778 4,25","2394 2,93","551 1,81"
2017-50,1.075,6.571,1.388.528,"4,73","949 11,81","1304 7,10","3613 4,42","705 2,30"
2017-51,1.077,10.022,1.391.528,"7,20","1504 18,61","2328 12,61","5114 6,24","1076 3,51"
2017-52,1.064,15.737,1.373.895,"11,45","2158 27,25","3129 17,22","8519 10,51","1931 6,38"
2018-01,1.063,18.949,1.373.357,"13,80","2225 28,41","2876 15,94","11260 13,87","2588 8,55"
2018-02,1.074,20.443,1.387.273,"14,74","2623 32,73","3394 18,45","11863 14,51","2563 8,39"
2018-03,1.070,19.187,1.382.249,"13,88","3271 40,81","4223 22,97","9667 11,87","2026 6,67"
2018-04,1.062,17.405,1.371.999,"12,69","3277 41,03","4167 22,79","8338 10,33","1623 5,38"
2018-05,1.054,14.589,1.360.809,"10,72","2667 33,54","3436 18,86","7175 8,97","1311 4,38"
2018-06,1.045,12.084,1.348.224,"8,96","2286 28,71","2704 14,85","5983 7,57","1111 3,76"
2018-07,1.035,9.520,1.335.542,"7,13","1668 21,22","2047 11,35","4870 6,21","935 3,19"
2018-08,1.022,8.225,1.317.181,"6,24","1310 16,98","1671 9,41","4398 5,69","846 2,93"
2018-09,1.010,6.190,1.302.894,"4,75","908 11,97","1030 5,91","3608 4,71","644 2,24"
2018-10,998,4.665,1.288.424,"3,62","633 8,50","684 3,97","2821 3,72","527 1,86"
2018-11,981,3.324,1.268.120,"2,62","435 6,10","480 2,90","2011 2,68","398 1,42"
2018-12,965,2.692,1.247.430,"2,16","320 4,62","360 2,22","1687 2,28","325 1,17"
2018-13,939,2.088,1.213.449,"1,72","236 3,54","235 1,50","1265 1,76","352 1,30"
2018-14,925,1.562,1.196.608,"1,31","161 2,48","197 1,29","931 1,31","273 1,02"
2018-15,885,1.241,1.145.343,"1,08","141 2,35","161 1,14","767 1,12","172 0,67"
2018-16,833,937,1.077.923,"0,87","116 2,07","134 1,03","521 0,80","166 0,68"
2018-17,765,611,989.063,"0,62","60 1,18","70 0,60","383 0,64","98 0,44"
