Date,"Antipiretico","Polmonite","Tonsillite","Pagina principale","Influenza"
2015-07-01,88,444,284,1717904,121
2015-07-02,61,420,289,1720761,94
2015-07-03,69,386,304,1700260,103
2015-07-04,71,369,251,1645230,76
2015-07-05,74,398,263,1630714,99
2015-07-06,82,477,331,1710994,99
2015-07-07,83,464,330,1701964,97
2015-07-08,68,472,265,1700310,98
2015-07-09,78,480,325,1685039,87
2015-07-10,83,420,288,1693882,98
2015-07-11,74,383,251,1621162,74
2015-07-12,64,388,241,1613378,89
2015-07-13,92,505,292,1700131,146
2015-07-14,59,507,311,1697234,110
2015-07-15,89,417,272,1687277,101
2015-07-16,79,431,289,1677657,84
2015-07-17,67,385,266,1655212,55
2015-07-18,65,344,221,1593680,60
2015-07-19,62,377,252,1594630,90
2015-07-20,87,496,358,1672209,75
2015-07-21,80,453,400,1667629,104
2015-07-22,75,504,337,1670687,88
2015-07-23,140,491,302,1670038,82
2015-07-24,75,463,292,1657910,86
2015-07-25,56,349,199,1609736,58
2015-07-26,70,351,233,1603282,91
2015-07-27,63,463,288,1674026,94
2015-07-28,75,434,277,1668059,82
2015-07-29,54,457,267,1660276,93
2015-07-30,58,375,270,1653073,108
2015-07-31,70,354,255,1634492,65
2015-08-01,84,311,202,1604814,50
2015-08-02,80,319,245,1575081,62
2015-08-03,75,334,242,1490501,58
2015-08-04,75,398,285,1630564,56
2015-08-05,73,359,266,1615263,57
2015-08-06,59,403,276,1612277,87
2015-08-07,62,334,259,1602420,56
2015-08-08,46,343,193,1554461,72
2015-08-09,52,378,231,1549335,98
2015-08-10,67,413,278,1546845,173
2015-08-11,84,412,234,1555368,112
2015-08-12,80,418,238,1576359,93
2015-08-13,91,324,247,1569158,218
2015-08-14,60,382,229,1552818,100
2015-08-15,57,295,185,1511931,133
2015-08-16,84,339,235,1577778,78
2015-08-17,95,437,257,1601543,113
2015-08-18,109,339,264,1605744,114
2015-08-19,109,358,287,1620688,162
2015-08-20,93,385,288,1614163,169
2015-08-21,84,417,240,1619310,220
2015-08-22,73,327,245,1588076,170
2015-08-23,77,336,241,1611195,173
2015-08-24,91,394,300,1677376,262
2015-08-25,92,435,280,1673215,117
2015-08-26,77,462,291,1660894,237
2015-08-27,102,429,269,1660521,176
2015-08-28,85,405,245,1714541,154
2015-08-29,93,345,213,1610797,161
2015-08-30,92,343,225,1620270,149
2015-08-31,107,411,268,1707787,183
2015-09-01,101,482,282,1692538,321
2015-09-02,97,417,252,1700151,193
2015-09-03,87,495,250,1697054,331
2015-09-04,88,469,265,1684989,200
2015-09-05,84,363,214,1647468,141
2015-09-06,74,340,205,1638219,171
2015-09-07,96,461,281,1704517,213
2015-09-08,87,405,249,1696893,202
2015-09-09,83,404,253,1687771,143
2015-09-10,78,374,249,1682640,134
2015-09-11,91,408,227,1676794,108
2015-09-12,77,288,209,1618928,110
2015-09-13,71,343,251,1643312,101
2015-09-14,115,513,300,1683806,143
2015-09-15,101,484,216,1676195,161
2015-09-16,68,456,252,1647012,158
2015-09-17,80,410,250,1637784,150
2015-09-18,82,337,254,1620468,143
2015-09-19,65,317,192,1595410,101
2015-09-20,92,314,214,1619381,134
2015-09-21,73,472,274,1661639,183
2015-09-22,101,449,259,1662581,185
2015-09-23,98,442,290,1657706,180
2015-09-24,92,387,305,1648329,173
2015-09-25,102,399,241,1627549,143
2015-09-26,123,346,188,1603592,148
2015-09-27,113,326,208,1614350,166
2015-09-28,106,417,268,1657312,229
2015-09-29,129,408,236,1645044,214
2015-09-30,113,396,228,1647553,261
2015-10-01,94,423,238,1669327,196
2015-10-02,83,426,251,1655223,217
2015-10-03,82,325,214,1611356,172
2015-10-04,87,402,262,1623003,214
2015-10-05,136,515,270,1663911,215
2015-10-06,127,524,240,1661975,229
2015-10-07,120,534,257,1644172,221
2015-10-08,107,453,244,1636780,202
2015-10-09,128,413,280,1630367,208
2015-10-10,101,429,223,1617747,238
2015-10-11,110,409,245,1619329,206
2015-10-12,102,546,272,1654106,248
2015-10-13,134,504,327,1658960,232
2015-10-14,117,501,287,1663945,219
2015-10-15,121,559,262,1655273,203
2015-10-16,109,501,297,1632052,176
2015-10-17,99,391,186,1605477,166
2015-10-18,98,434,191,1623037,156
2015-10-19,109,496,289,1650347,215
2015-10-20,113,520,284,1640683,218
2015-10-21,110,547,274,1632815,215
2015-10-22,99,517,241,1629687,166
2015-10-23,101,468,288,1614076,172
2015-10-24,90,364,219,1579282,178
2015-10-25,101,436,256,1548614,153
2015-10-26,91,583,281,1619359,171
2015-10-27,105,473,310,1622630,200
2015-10-28,136,514,301,1617376,213
2015-10-29,91,488,295,1611845,191
2015-10-30,77,459,302,1594523,164
2015-10-31,89,405,226,1567102,133
2015-11-01,99,415,242,1584622,154
2015-11-02,102,813,296,1651150,165
2015-11-03,106,603,291,1622930,174
2015-11-04,107,527,308,1620039,225
2015-11-05,128,534,311,1620713,226
2015-11-06,94,533,284,1603175,177
2015-11-07,96,447,247,1571287,177
2015-11-08,93,394,255,1588447,192
2015-11-09,114,567,361,1635794,199
2015-11-10,84,483,346,1626884,243
2015-11-11,108,551,314,1622050,200
2015-11-12,115,517,295,1612609,200
2015-11-13,86,597,252,1606334,178
2015-11-14,84,396,226,1584603,129
2015-11-15,111,433,232,1616220,149
2015-11-16,113,511,309,1639338,209
2015-11-17,97,498,322,1644341,191
2015-11-18,113,522,278,1623903,217
2015-11-19,122,531,291,1626033,200
2015-11-20,98,522,275,1616231,166
2015-11-21,91,462,212,1598851,150
2015-11-22,91,525,214,1605671,164
2015-11-23,137,541,314,1636033,252
2015-11-24,106,492,291,1620446,254
2015-11-25,98,555,320,1613222,208
2015-11-26,105,538,265,1618273,211
2015-11-27,111,566,307,1603950,189
2015-11-28,86,496,229,1576654,180
2015-11-29,107,475,242,1590177,183
2015-11-30,85,641,340,1615836,223
2015-12-01,129,626,241,1610036,213
2015-12-02,110,616,309,1604292,258
2015-12-03,143,636,307,1603569,230
2015-12-04,97,586,267,1581333,160
2015-12-05,86,486,217,1558989,173
2015-12-06,122,448,249,1555105,164
2015-12-07,126,570,267,1584090,172
2015-12-08,100,569,249,1581100,230
2015-12-09,127,659,307,1625336,300
2015-12-10,124,686,313,1595404,238
2015-12-11,114,631,287,1579291,230
2015-12-12,92,587,253,1560134,170
2015-12-13,121,561,305,1580389,158
2015-12-14,97,639,302,1606660,189
2015-12-15,118,638,313,1566065,227
2015-12-16,155,619,337,1577485,257
2015-12-17,105,687,302,1580118,218
2015-12-18,97,542,301,1560629,153
2015-12-19,92,521,276,1534684,182
2015-12-20,113,591,265,1543547,252
2015-12-21,110,689,322,1559977,244
2015-12-22,115,598,321,1583209,203
2015-12-23,106,526,271,1528445,164
2015-12-24,98,421,226,1505803,138
2015-12-25,96,423,221,1490383,147
2015-12-26,117,603,263,1518378,190
2015-12-27,134,610,259,1527830,229
2015-12-28,151,759,313,1552915,275
2015-12-29,158,733,314,1548993,255
2015-12-30,134,768,320,1537477,237
2015-12-31,114,523,175,1497614,169
2016-01-01,126,594,228,1509194,152
2016-01-02,195,726,271,1557597,260
2016-01-03,151,705,320,1572025,245
2016-01-04,146,919,384,1615020,280
2016-01-05,168,883,325,1603168,307
2016-01-06,162,746,298,1593622,255
2016-01-07,174,887,347,1618177,307
2016-01-08,173,871,347,1599526,328
2016-01-09,104,740,313,1573810,259
2016-01-10,112,772,376,1595739,274
2016-01-11,140,911,391,1643182,303
2016-01-12,143,848,348,1619174,312
2016-01-13,126,832,344,1611659,337
2016-01-14,118,852,322,1625629,281
2016-01-15,92,784,316,1599454,294
2016-01-16,121,727,258,1574970,248
2016-01-17,102,772,272,1587302,236
2016-01-18,120,911,314,1606461,357
2016-01-19,134,889,314,1603706,288
2016-01-20,140,802,304,1590061,272
2016-01-21,117,745,329,1581234,284
2016-01-22,110,821,371,1574571,265
2016-01-23,120,622,320,1548184,211
2016-01-24,137,718,335,1562961,290
2016-01-25,131,914,394,1586547,289
2016-01-26,120,810,315,1580580,304
2016-01-27,136,851,326,1583942,327
2016-01-28,137,914,338,1568549,333
2016-01-29,132,784,281,1552397,292
2016-01-30,101,720,280,1528118,295
2016-01-31,131,738,278,1545840,249
2016-02-01,144,924,375,1571447,357
2016-02-02,140,814,337,1568532,373
2016-02-03,151,829,348,1566863,378
2016-02-04,127,797,319,1556316,345
2016-02-05,132,764,271,1540532,315
2016-02-06,140,638,263,1525297,268
2016-02-07,118,734,273,1544379,297
2016-02-08,148,957,329,1573114,348
2016-02-09,172,929,345,1575462,373
2016-02-10,175,858,326,1576172,359
2016-02-11,148,839,344,1575494,368
2016-02-12,141,917,308,1568361,312
2016-02-13,131,759,294,1546533,279
2016-02-14,117,789,293,1570040,304
2016-02-15,149,957,371,1581629,385
2016-02-16,158,928,323,1576473,427
2016-02-17,148,1007,369,1566637,373
2016-02-18,171,907,326,1556560,333
2016-02-19,121,865,337,1546129,324
2016-02-20,139,696,276,1543355,250
